Quality_assessment	SampleType	MAG_ID	n_contigs	contig_bp	ctg_N50	ctg_L50	gc_avg	Completeness	Contamination	quality_score
High-quality	Rumen	ruminal_MAG_190	292	3465133	53	20931	0.51968	94.51	5.17	68.66
High-quality	Rumen	ruminal_MAG_191	9	1257609	2	318558	0.37052	98.88	0.0	98.88
High-quality	Rumen	ruminal_MAG_192	368	2955642	89	10096	0.61762	94.3	4.03	74.15
High-quality	Rumen	ruminal_MAG_193	91	3554353	15	82775	0.39033	100.0	1.08	94.6
High-quality	Rumen	ruminal_MAG_194	312	1898953	84	7442	0.56894	80.7	2.86	66.4
High-quality	Rumen	ruminal_MAG_195	335	1958271	82	7543	0.53818	94.68	1.53	87.03
High-quality	Rumen	ruminal_MAG_196	141	4115506	17	72712	0.50796	94.72	0.72	91.12
High-quality	Rumen	ruminal_MAG_197	99	2604918	11	64349	0.60699	92.94	3.5	75.44
High-quality	Rumen	ruminal_MAG_198	139	2585304	23	35307	0.33593	91.15	3.6	73.15
High-quality	Rumen	ruminal_MAG_199	237	2315234	41	16299	0.52426	94.74	3.4	77.74
High-quality	Rumen	ruminal_MAG_2	362	2000835	89	6754	0.61775	85.41	2.15	74.66
High-quality	Rumen	ruminal_MAG_20	297	4362622	47	25494	0.52003	95.21	4.44	73.01
High-quality	Rumen	ruminal_MAG_200	320	1732876	54	9013	0.52458	86.91	2.12	76.31
High-quality	Rumen	ruminal_MAG_201	267	3031671	52	17465	0.45727	92.8	1.56	85
High-quality	Rumen	ruminal_MAG_202	31	2777456	7	152725	0.46060	96.1	0.0	96.1
High-quality	Rumen	ruminal_MAG_203	93	2474167	21	37222	0.48811	89.73	2.26	78.43
High-quality	Rumen	ruminal_MAG_204	71	2350427	15	49886	0.49876	95.39	2.69	81.94
High-quality	Rumen	ruminal_MAG_205	125	2488325	28	25603	0.33151	95.73	0.06	95.43
High-quality	Rumen	ruminal_MAG_206	327	3506252	69	15571	0.45840	96.03	2.14	85.33
High-quality	Rumen	ruminal_MAG_207	53	2527628	12	67933	0.52695	87.8	0.54	85.1
High-quality	Rumen	ruminal_MAG_208	65	2576959	14	75086	0.47810	91.25	1.3	84.75
High-quality	Rumen	ruminal_MAG_209	165	4047014	37	34095	0.42989	95.75	0.62	92.65
High-quality	Rumen	ruminal_MAG_21	51	1540815	6	84053	0.47977	97.5	0.0	97.5
High-quality	Rumen	ruminal_MAG_210	322	2478344	72	10746	0.61619	88.81	6.38	56.91
High-quality	Rumen	ruminal_MAG_211	106	2455379	16	42665	0.53256	98.1	0.24	96.9
High-quality	Rumen	ruminal_MAG_212	232	4039496	51	25955	0.51322	93.9	1.28	87.5
High-quality	Rumen	ruminal_MAG_213	41	2168212	9	80653	0.49143	83.89	0.0	83.89
High-quality	Rumen	ruminal_MAG_214	296	2027180	80	8295	0.50161	83.69	2.48	71.29
High-quality	Rumen	ruminal_MAG_215	117	3236483	25	44348	0.51436	87.36	0.14	86.66
High-quality	Rumen	ruminal_MAG_216	19	1369113	4	125213	0.46907	96.63	1.12	91.03
High-quality	Rumen	ruminal_MAG_217	102	3446650	24	48594	0.43558	95.69	0.86	91.39
High-quality	Rumen	ruminal_MAG_218	116	2647326	24	36363	0.51528	91.03	1.68	82.63
High-quality	Rumen	ruminal_MAG_219	81	1725366	19	31633	0.38046	84.57	4.8	60.57
High-quality	Rumen	ruminal_MAG_22	285	2641792	46	16830	0.52031	98.32	4.17	77.47
High-quality	Rumen	ruminal_MAG_220	129	3895850	13	89575	0.49034	95.08	0.0	95.08
High-quality	Rumen	ruminal_MAG_221	324	3246381	81	13441	0.47085	90.57	3.58	72.67
High-quality	Rumen	ruminal_MAG_222	457	2875497	111	8356	0.48829	85.11	2.17	74.26
High-quality	Rumen	ruminal_MAG_223	122	3864275	17	86596	0.47447	97.41	5.47	70.06
High-quality	Rumen	ruminal_MAG_224	366	2306876	66	9564	0.48673	84.1	2.47	71.75
High-quality	Rumen	ruminal_MAG_225	282	3194613	45	21427	0.58822	95.62	3.52	78.02
High-quality	Rumen	ruminal_MAG_226	119	1493780	18	23900	0.36728	98.27	4.27	76.92
High-quality	Rumen	ruminal_MAG_227	201	1726159	41	11959	0.58220	89.6	0.67	86.25
High-quality	Rumen	ruminal_MAG_228	105	1867073	20	32082	0.50370	93.1	1.43	85.95
High-quality	Rumen	ruminal_MAG_229	78	1937341	14	42754	0.33726	94.62	0.0	94.62
High-quality	Rumen	ruminal_MAG_23	90	1866703	19	32872	0.56534	91.91	3.41	74.86
High-quality	Rumen	ruminal_MAG_230	68	1363509	14	33952	0.45178	93.26	1.12	87.66
High-quality	Rumen	ruminal_MAG_231	143	2398712	16	36387	0.40890	99.33	0.67	95.98
High-quality	Rumen	ruminal_MAG_232	149	2078416	31	22356	0.47697	90.33	2.78	76.43
High-quality	Rumen	ruminal_MAG_233	260	2960252	53	18221	0.58945	100.0	3.38	83.1
High-quality	Rumen	ruminal_MAG_234	201	2141812	34	17222	0.36076	95.39	2.53	82.74
High-quality	Rumen	ruminal_MAG_235	341	2926016	80	11415	0.42734	89.97	3.16	74.17
High-quality	Rumen	ruminal_MAG_236	594	2681788	122	6363	0.55280	92.25	1.01	87.2
High-quality	Rumen	ruminal_MAG_237	692	3422414	178	5916	0.42549	89.12	2.99	74.17
High-quality	Rumen	ruminal_MAG_238	608	2199721	131	4743	0.49636	87.28	4.26	65.98
High-quality	Rumen	ruminal_MAG_239	154	3049090	22	39795	0.50299	91.77	3.24	75.57
High-quality	Rumen	ruminal_MAG_24	106	2487984	25	37134	0.51231	97.47	0.54	94.77
High-quality	Rumen	ruminal_MAG_240	344	1709486	94	5432	0.50194	87.89	1.73	79.24
High-quality	Rumen	ruminal_MAG_241	408	2142516	88	6450	0.50374	83.62	1.23	77.47
High-quality	Rumen	ruminal_MAG_242	207	2042667	41	14354	0.54589	90.56	3.35	73.81
High-quality	Rumen	ruminal_MAG_243	142	3293303	22	41474	0.43096	98.81	2.14	88.11
High-quality	Rumen	ruminal_MAG_244	66	1318615	12	33816	0.41262	96.77	0.0	96.77
High-quality	Rumen	ruminal_MAG_245	408	2207992	107	6481	0.47655	85.35	2.8	71.35
High-quality	Rumen	ruminal_MAG_246	119	2376491	12	57070	0.49326	92.74	1.31	86.19
High-quality	Rumen	ruminal_MAG_247	717	3472620	144	6799	0.51799	81.1	2.89	66.65
High-quality	Rumen	ruminal_MAG_248	22	2193739	6	158034	0.37411	97.85	0.0	97.85
High-quality	Rumen	ruminal_MAG_249	178	3205393	32	27495	0.61160	94.97	1.57	87.12
High-quality	Rumen	ruminal_MAG_25	222	2162631	42	14633	0.33923	93.39	3.04	78.19
High-quality	Rumen	ruminal_MAG_250	94	2493957	15	59711	0.48706	97.94	0.49	95.49
High-quality	Rumen	ruminal_MAG_251	198	1947335	48	12642	0.47839	88.94	1.83	79.79
High-quality	Rumen	ruminal_MAG_252	132	2210183	27	25387	0.56579	89.68	3.73	71.03
High-quality	Rumen	ruminal_MAG_253	31	1370872	7	60432	0.39803	98.92	0.0	98.92
High-quality	Rumen	ruminal_MAG_254	173	2167912	37	19666	0.43632	93.57	1.39	86.62
High-quality	Rumen	ruminal_MAG_255	20	2425124	5	218464	0.52267	96.02	0.54	93.32
High-quality	Rumen	ruminal_MAG_256	90	3350611	15	67679	0.48967	97.58	0.02	97.48
High-quality	Rumen	ruminal_MAG_257	37	2660915	8	105187	0.60749	86.7	0.0	86.7
High-quality	Rumen	ruminal_MAG_258	324	3035685	79	12196	0.59649	91.55	1.76	82.75
High-quality	Rumen	ruminal_MAG_259	502	1665622	126	3939	0.32184	80.65	3.94	60.95
High-quality	Rumen	ruminal_MAG_26	28	3033893	8	143258	0.42179	95.71	1.12	90.11
High-quality	Rumen	ruminal_MAG_260	536	2195236	134	5008	0.49251	80.28	3.55	62.53
High-quality	Rumen	ruminal_MAG_261	59	2646652	5	180596	0.47689	89.62	2.91	75.07
High-quality	Rumen	ruminal_MAG_262	437	5876429	42	39412	0.43027	96.33	8.74	52.63
High-quality	Rumen	ruminal_MAG_263	123	2786310	14	62226	0.49281	97.52	1.88	88.12
High-quality	Rumen	ruminal_MAG_264	235	2218342	48	13518	0.55380	89.75	0.67	86.4
High-quality	Rumen	ruminal_MAG_265	64	1007646	10	33350	0.36079	84.17	1.12	78.57
High-quality	Rumen	ruminal_MAG_266	44	2542886	7	147282	0.56841	97.42	0.81	93.37
High-quality	Rumen	ruminal_MAG_267	162	3306101	20	44683	0.49633	88.1	3.76	69.3
High-quality	Rumen	ruminal_MAG_268	145	3199361	14	71921	0.49041	97.07	3.44	79.87
High-quality	Rumen	ruminal_MAG_269	138	2311708	15	43466	0.52546	93.55	3.61	75.5
High-quality	Rumen	ruminal_MAG_27	22	873465	5	74809	0.36452	87.28	1.1	81.78
High-quality	Rumen	ruminal_MAG_270	39	2504227	7	113650	0.60624	96.41	0.0	96.41
High-quality	Rumen	ruminal_MAG_271	318	2728873	66	12314	0.30673	91.67	1.28	85.27
High-quality	Rumen	ruminal_MAG_272	275	2783288	56	16116	0.52052	87.94	1.77	79.09
High-quality	Rumen	ruminal_MAG_273	128	2348472	22	34033	0.47867	97.81	4.14	77.11
High-quality	Rumen	ruminal_MAG_274	41	1875784	7	80992	0.32120	96.8	2.08	86.4
High-quality	Rumen	ruminal_MAG_275	109	1976266	22	28643	0.47971	88.19	0.37	86.34
High-quality	Rumen	ruminal_MAG_276	73	2817504	16	61816	0.48644	91.64	1.2	85.64
High-quality	Rumen	ruminal_MAG_277	506	3000771	131	7304	0.54546	83.79	3.04	68.59
High-quality	Rumen	ruminal_MAG_278	128	2845293	19	48373	0.34317	94.77	4.8	70.77
High-quality	Rumen	ruminal_MAG_279	313	2705258	68	11836	0.54472	85.24	0.88	80.84
High-quality	Rumen	ruminal_MAG_28	105	2437709	23	34213	0.60119	89.12	4.53	66.47
High-quality	Rumen	ruminal_MAG_280	540	2223789	136	5002	0.56186	86.4	5.98	56.5
High-quality	Rumen	ruminal_MAG_281	97	3679892	14	69055	0.50880	98.9	0.55	96.15
High-quality	Rumen	ruminal_MAG_282	147	3109693	25	48398	0.54109	92.15	5.54	64.45
High-quality	Rumen	ruminal_MAG_283	327	3199487	40	24547	0.54309	87.89	6.41	55.84
High-quality	Rumen	ruminal_MAG_284	139	1799796	32	18542	0.51367	84.89	1.08	79.49
High-quality	Rumen	ruminal_MAG_285	28	2380679	6	147115	0.44839	97.04	0.0	97.04
High-quality	Rumen	ruminal_MAG_286	1038	3378296	265	3772	0.40504	85.35	2.32	73.75
High-quality	Rumen	ruminal_MAG_287	605	2377815	157	4859	0.45472	84.87	1.68	76.47
High-quality	Rumen	ruminal_MAG_288	502	1584597	133	3715	0.60774	82.51	1.17	76.66
High-quality	Rumen	ruminal_MAG_289	290	1866762	64	8633	0.61516	86.58	2.39	74.63
High-quality	Rumen	ruminal_MAG_29	831	3336334	181	5366	0.51710	89.49	6.32	57.89
High-quality	Rumen	ruminal_MAG_290	161	2660483	36	25928	0.60714	89.64	3.27	73.29
High-quality	Rumen	ruminal_MAG_291	64	2308952	11	79012	0.43410	98.66	0.54	95.96
High-quality	Rumen	ruminal_MAG_292	50	1686989	10	51211	0.56118	87.06	0.49	84.61
High-quality	Rumen	ruminal_MAG_293	94	2702111	17	54856	0.47868	95.04	0.93	90.39
High-quality	Rumen	ruminal_MAG_294	352	2377330	87	9053	0.49520	93.77	5.03	68.62
High-quality	Rumen	ruminal_MAG_295	173	2394165	34	24153	0.52955	82.08	3.76	63.28
High-quality	Rumen	ruminal_MAG_296	491	2474278	126	6287	0.50171	88.01	1.9	78.51
High-quality	Rumen	ruminal_MAG_297	244	4105778	28	38552	0.50703	92.58	2.64	79.38
High-quality	Rumen	ruminal_MAG_298	189	3244740	21	49711	0.53940	89.48	4.15	68.73
High-quality	Rumen	ruminal_MAG_299	188	3246532	24	41441	0.46416	90.46	3.73	71.81
High-quality	Rumen	ruminal_MAG_3	442	3166690	100	9378	0.52175	91.83	2.57	78.98
High-quality	Rumen	ruminal_MAG_30	352	3028645	49	15667	0.43653	92.95	5.69	64.5
High-quality	Rumen	ruminal_MAG_300	109	2406501	16	41101	0.60907	89.93	1.01	84.88
High-quality	Rumen	ruminal_MAG_301	284	1880725	62	9602	0.51776	88.57	1.55	80.82
High-quality	Rumen	ruminal_MAG_302	96	760117	4	56954	0.27807	80.09	0.88	75.69
High-quality	Rumen	ruminal_MAG_303	147	2414057	20	39390	0.49292	97.41	3.02	82.31
High-quality	Rumen	ruminal_MAG_304	770	2070321	205	3076	0.49869	81.69	5.46	54.39
High-quality	Rumen	ruminal_MAG_305	349	2634988	83	9776	0.48972	85.8	3.28	69.4
High-quality	Rumen	ruminal_MAG_306	241	2387838	59	13980	0.53348	93.27	1.33	86.62
High-quality	Rumen	ruminal_MAG_307	146	3382465	22	48336	0.53408	95.32	8.24	54.12
High-quality	Rumen	ruminal_MAG_308	182	3492760	33	35213	0.51644	90.02	3.28	73.62
High-quality	Rumen	ruminal_MAG_309	144	3299076	26	35927	0.59119	87.9	2.9	73.4
High-quality	Rumen	ruminal_MAG_31	98	1901317	16	38259	0.49876	84.28	2.63	71.13
High-quality	Rumen	ruminal_MAG_310	23	2410103	6	162281	0.52325	97.58	1.08	92.18
High-quality	Rumen	ruminal_MAG_311	39	1898251	8	65251	0.50069	92.14	0.24	90.94
High-quality	Rumen	ruminal_MAG_312	93	3604342	17	67584	0.39983	99.46	0.54	96.76
High-quality	Rumen	ruminal_MAG_313	210	2021241	52	12769	0.57785	93.29	1.57	85.44
High-quality	Rumen	ruminal_MAG_314	46	2241628	11	78608	0.37539	97.85	0.0	97.85
High-quality	Rumen	ruminal_MAG_315	86	2551172	8	99401	0.48968	89.52	1.61	81.47
High-quality	Rumen	ruminal_MAG_316	335	2907518	69	12767	0.60151	92.47	3.0	77.47
High-quality	Rumen	ruminal_MAG_317	15	1319017	3	177744	0.33596	98.31	0.05	98.06
High-quality	Rumen	ruminal_MAG_318	189	2314208	39	17945	0.32960	95.4	0.8	91.4
High-quality	Rumen	ruminal_MAG_319	268	2341641	63	12550	0.53049	81.55	2.84	67.35
High-quality	Rumen	ruminal_MAG_32	366	4392830	50	25159	0.39033	95.97	8.31	54.42
High-quality	Rumen	ruminal_MAG_320	325	1615886	68	7196	0.49338	87.08	2.01	77.03
High-quality	Rumen	ruminal_MAG_321	567	2844056	147	6239	0.48816	88.24	2.82	74.14
High-quality	Rumen	ruminal_MAG_322	488	2274033	111	6347	0.49588	84.45	4.43	62.3
High-quality	Rumen	ruminal_MAG_323	444	1276033	125	3439	0.39998	81.66	0.06	81.36
High-quality	Rumen	ruminal_MAG_324	509	1645765	142	3737	0.58138	84.6	0.35	82.85
High-quality	Rumen	ruminal_MAG_325	1089	3345271	289	3701	0.42654	84.91	3.22	68.81
High-quality	Rumen	ruminal_MAG_326	32	2348459	8	102765	0.52387	96.51	0.54	93.81
High-quality	Rumen	ruminal_MAG_327	227	1803234	54	10882	0.50441	85.16	0.71	81.61
High-quality	Rumen	ruminal_MAG_328	61	2462075	15	47876	0.47026	96.83	0.58	93.93
High-quality	Rumen	ruminal_MAG_329	134	3668852	17	72954	0.49785	99.05	0.0	99.05
High-quality	Rumen	ruminal_MAG_33	227	2395247	45	17416	0.47280	97.52	1.33	90.87
High-quality	Rumen	ruminal_MAG_330	613	3816832	155	7613	0.60299	82.79	3.7	64.29
High-quality	Rumen	ruminal_MAG_331	58	1911020	13	48417	0.35634	94.87	0.4	92.87
High-quality	Rumen	ruminal_MAG_332	169	2814984	29	26806	0.46568	97.54	2.6	84.54
High-quality	Rumen	ruminal_MAG_333	205	2877717	39	22808	0.47588	96.76	2.01	86.71
High-quality	Rumen	ruminal_MAG_334	415	3141271	95	10767	0.54657	91.26	4.52	68.66
High-quality	Rumen	ruminal_MAG_335	358	2746036	87	10562	0.46857	91.16	0.71	87.61
High-quality	Rumen	ruminal_MAG_336	74	2324409	19	39830	0.50317	98.12	1.88	88.72
High-quality	Rumen	ruminal_MAG_337	731	1753985	195	2772	0.32562	84.67	5.97	54.82
High-quality	Rumen	ruminal_MAG_338	114	3168525	23	43267	0.50320	84.28	1.67	75.93
High-quality	Rumen	ruminal_MAG_339	791	1986569	220	2881	0.50055	83.23	4.12	62.63
High-quality	Rumen	ruminal_MAG_34	163	2457406	17	45674	0.37390	96.88	2.24	85.68
High-quality	Rumen	ruminal_MAG_340	77	1929986	15	34506	0.49680	87.54	0.54	84.84
High-quality	Rumen	ruminal_MAG_341	223	3143517	44	22104	0.42335	96.27	2.62	83.17
High-quality	Rumen	ruminal_MAG_342	270	2300264	66	10913	0.60681	81.43	1.34	74.73
High-quality	Rumen	ruminal_MAG_343	207	2183392	41	14568	0.37619	93.44	0.72	89.84
High-quality	Rumen	ruminal_MAG_344	340	1441514	78	4798	0.47405	81.09	0.0	81.09
High-quality	Rumen	ruminal_MAG_345	89	3171126	8	147145	0.49492	97.47	1.25	91.22
High-quality	Rumen	ruminal_MAG_346	137	4050718	18	70547	0.48649	98.9	2.56	86.1
High-quality	Rumen	ruminal_MAG_347	79	2878937	15	65375	0.56372	96.71	0.6	93.71
High-quality	Rumen	ruminal_MAG_348	671	1956119	181	3455	0.57461	81.41	2.38	69.51
High-quality	Rumen	ruminal_MAG_349	138	2535394	19	44467	0.56778	97.85	0.54	95.15
High-quality	Rumen	ruminal_MAG_35	90	3223883	16	59352	0.49812	95.89	0.0	95.89
High-quality	Rumen	ruminal_MAG_350	162	2967847	35	23627	0.52379	93.76	1.38	86.86
High-quality	Rumen	ruminal_MAG_351	101	2105874	21	31871	0.36586	90.39	0.0	90.39
High-quality	Rumen	ruminal_MAG_352	107	3365004	18	54078	0.51993	92.74	2.15	81.99
High-quality	Rumen	ruminal_MAG_353	207	2560724	49	16455	0.53577	85.93	0.0	85.93
High-quality	Rumen	ruminal_MAG_354	107	3094635	20	44017	0.50507	93.82	3.66	75.52
High-quality	Rumen	ruminal_MAG_355	133	2446103	16	45793	0.41757	99.33	0.67	95.98
High-quality	Rumen	ruminal_MAG_356	13	2416395	3	258439	0.44921	97.04	0.0	97.04
High-quality	Rumen	ruminal_MAG_357	147	3301580	25	42883	0.50275	91.14	2.4	79.14
High-quality	Rumen	ruminal_MAG_358	426	2350309	83	7846	0.44454	93.96	0.81	89.91
High-quality	Rumen	ruminal_MAG_359	684	2104632	177	3848	0.53789	83.97	3.05	68.72
High-quality	Rumen	ruminal_MAG_36	22	2489951	7	149930	0.49264	99.41	0.35	97.66
High-quality	Rumen	ruminal_MAG_360	62	2723060	13	79704	0.48654	95.43	0.54	92.73
High-quality	Rumen	ruminal_MAG_361	128	1972949	27	24010	0.51860	98.77	1.34	92.07
High-quality	Rumen	ruminal_MAG_362	259	2596508	63	14300	0.50761	95.97	0.54	93.27
High-quality	Rumen	ruminal_MAG_363	480	2878455	126	7193	0.46179	88.49	1.01	83.44
High-quality	Rumen	ruminal_MAG_364	43	2396579	9	82751	0.45245	97.04	0.0	97.04
High-quality	Rumen	ruminal_MAG_365	357	2063163	82	7276	0.57418	81.87	2.21	70.82
High-quality	Rumen	ruminal_MAG_366	264	4367932	34	34699	0.48608	96.56	5.68	68.16
High-quality	Rumen	ruminal_MAG_367	483	1610224	122	4207	0.28129	84.12	4.67	60.77
High-quality	Rumen	ruminal_MAG_368	894	2681272	224	3614	0.53389	80.05	5.82	50.95
High-quality	Rumen	ruminal_MAG_369	500	2695087	139	6231	0.46961	85.02	3.15	69.27
High-quality	Rumen	ruminal_MAG_37	83	3589349	12	89612	0.48757	97.16	1.79	88.21
High-quality	Rumen	ruminal_MAG_370	374	1841345	102	5587	0.36954	84.82	2.83	70.67
High-quality	Rumen	ruminal_MAG_371	118	3660066	22	54314	0.46667	96.18	1.91	86.63
High-quality	Rumen	ruminal_MAG_372	588	1908081	133	4432	0.53943	83.83	2.31	72.28
High-quality	Rumen	ruminal_MAG_373	96	2003543	20	29750	0.51780	98.7	0.0	98.7
High-quality	Rumen	ruminal_MAG_374	327	2605252	63	13363	0.48896	90.43	2.8	76.43
High-quality	Rumen	ruminal_MAG_375	71	3045527	11	78192	0.54899	95.87	0.6	92.87
High-quality	Rumen	ruminal_MAG_376	180	4293504	26	54143	0.51157	96.91	1.39	89.96
High-quality	Rumen	ruminal_MAG_377	160	3500802	26	41571	0.52302	92.83	0.88	88.43
High-quality	Rumen	ruminal_MAG_378	165	1213718	34	9745	0.36547	85.04	1.12	79.44
High-quality	Rumen	ruminal_MAG_379	998	2914267	245	3494	0.40018	83.59	3.77	64.74
High-quality	Rumen	ruminal_MAG_38	61	2001677	16	48234	0.57663	97.32	0.67	93.97
High-quality	Rumen	ruminal_MAG_380	364	2020715	80	7627	0.49463	91.09	1.56	83.29
High-quality	Rumen	ruminal_MAG_381	96	1628379	18	28430	0.43640	84.88	0.18	83.98
High-quality	Rumen	ruminal_MAG_382	387	3849083	84	14094	0.44665	96.51	1.69	88.06
High-quality	Rumen	ruminal_MAG_383	69	2031221	14	44534	0.59514	91.61	0.0	91.61
High-quality	Rumen	ruminal_MAG_384	91	1993114	16	39155	0.33754	97.85	0.54	95.15
High-quality	Rumen	ruminal_MAG_385	225	1719067	52	10784	0.52474	92.38	1.73	83.73
High-quality	Rumen	ruminal_MAG_386	585	2207252	152	4575	0.44603	88.27	4.3	66.77
High-quality	Rumen	ruminal_MAG_387	198	3708996	18	64965	0.55863	98.47	1.28	92.07
High-quality	Rumen	ruminal_MAG_388	48	2606983	9	96291	0.56879	95.81	1.41	88.76
High-quality	Rumen	ruminal_MAG_389	133	2980487	24	44179	0.63691	97.09	1.75	88.34
High-quality	Rumen	ruminal_MAG_39	39	3444736	8	143115	0.47586	100.0	0.0	100
High-quality	Rumen	ruminal_MAG_390	42	2310493	9	92653	0.55594	94.68	0.95	89.93
High-quality	Rumen	ruminal_MAG_391	506	2513818	139	5823	0.45708	83.75	1.26	77.45
High-quality	Rumen	ruminal_MAG_392	538	2364298	134	5721	0.47522	83.92	4.92	59.32
High-quality	Rumen	ruminal_MAG_393	445	4937279	40	36671	0.48847	97.95	9.22	51.85
High-quality	Rumen	ruminal_MAG_394	391	2518634	67	9764	0.35065	83.48	4.04	63.28
High-quality	Rumen	ruminal_MAG_395	279	2734787	49	17566	0.59429	89.33	5.41	62.28
High-quality	Rumen	ruminal_MAG_396	84	2711859	14	68344	0.50766	94.15	1.38	87.25
High-quality	Rumen	ruminal_MAG_397	22	1169435	4	139128	0.34621	96.07	3.37	79.22
High-quality	Rumen	ruminal_MAG_398	25	536266	6	35152	0.27096	80.25	0.0	80.25
High-quality	Rumen	ruminal_MAG_399	50	2234155	10	72642	0.51797	97.62	0.19	96.67
High-quality	Rumen	ruminal_MAG_4	373	1222111	96	4083	0.45833	84.73	3.47	67.38
High-quality	Rumen	ruminal_MAG_40	84	3038487	18	61535	0.54505	94.35	0.63	91.2
High-quality	Rumen	ruminal_MAG_400	200	1637289	45	11285	0.52194	84.35	2.27	73
High-quality	Rumen	ruminal_MAG_401	54	1988086	11	61580	0.60430	92.95	0.0	92.95
High-quality	Rumen	ruminal_MAG_402	445	3646920	88	12056	0.51664	95.06	1.22	88.96
High-quality	Rumen	ruminal_MAG_403	101	1368088	23	18248	0.60710	82.28	0.71	78.73
High-quality	Rumen	ruminal_MAG_404	538	1692955	149	3732	0.33690	86.36	1.62	78.26
High-quality	Rumen	ruminal_MAG_405	325	1267017	83	4958	0.48216	84.85	0.0	84.85
High-quality	Rumen	ruminal_MAG_406	439	3247032	98	9540	0.52380	85.63	1.36	78.83
High-quality	Rumen	ruminal_MAG_407	657	2175272	173	4025	0.49523	81.48	2.94	66.78
High-quality	Rumen	ruminal_MAG_408	964	2631491	243	3219	0.41049	84.46	1.01	79.41
High-quality	Rumen	ruminal_MAG_409	407	3366344	77	12914	0.51203	87.14	4.7	63.64
High-quality	Rumen	ruminal_MAG_41	568	2706767	115	6414	0.49714	88.99	3.29	72.54
High-quality	Rumen	ruminal_MAG_410	198	3797927	19	47178	0.52665	98.43	2.35	86.68
High-quality	Rumen	ruminal_MAG_411	182	1817306	36	13764	0.50549	89.95	0.0	89.95
High-quality	Rumen	ruminal_MAG_412	67	3253501	15	73524	0.49924	91.67	0.54	88.97
High-quality	Rumen	ruminal_MAG_413	192	1886923	42	12959	0.51583	91.98	0.0	91.98
High-quality	Rumen	ruminal_MAG_414	570	2254049	128	5154	0.53482	92.39	1.01	87.34
High-quality	Rumen	ruminal_MAG_415	220	3875990	20	59897	0.46575	98.12	8.42	56.02
High-quality	Rumen	ruminal_MAG_416	171	3424658	19	58055	0.47875	97.41	1.63	89.26
High-quality	Rumen	ruminal_MAG_417	209	1327324	43	9282	0.36464	93.26	4.49	70.81
High-quality	Rumen	ruminal_MAG_418	436	3791089	84	12386	0.49528	90.16	6.71	56.61
High-quality	Rumen	ruminal_MAG_419	203	2718643	42	19659	0.51532	87.79	0.88	83.39
High-quality	Rumen	ruminal_MAG_42	618	2165603	143	4475	0.56997	82.27	2.8	68.27
High-quality	Rumen	ruminal_MAG_420	63	2369674	11	79307	0.45468	96.4	1.08	91
High-quality	Rumen	ruminal_MAG_421	120	1548983	29	17205	0.49920	90.22	0.48	87.82
High-quality	Rumen	ruminal_MAG_422	168	2881459	33	26796	0.38821	90.35	0.93	85.7
High-quality	Rumen	ruminal_MAG_423	125	2011740	27	22378	0.50956	92.47	1.88	83.07
High-quality	Rumen	ruminal_MAG_424	244	3341501	51	19157	0.49556	86.36	0.1	85.86
High-quality	Rumen	ruminal_MAG_425	1219	3933016	322	3852	0.32127	81.14	3.03	65.99
High-quality	Rumen	ruminal_MAG_426	407	859199	119	2205	0.47566	81.09	3.81	62.04
High-quality	Rumen	ruminal_MAG_427	563	2823916	143	6312	0.40946	94.97	0.89	90.52
High-quality	Rumen	ruminal_MAG_428	472	2255114	114	5862	0.43796	88.75	1.88	79.35
High-quality	Rumen	ruminal_MAG_429	207	3788259	19	62845	0.56868	95.55	2.01	85.5
High-quality	Rumen	ruminal_MAG_43	514	2328681	120	5725	0.48967	86.23	3.78	67.33
High-quality	Rumen	ruminal_MAG_430	362	3856075	69	16804	0.40188	94.53	1.61	86.48
High-quality	Rumen	ruminal_MAG_431	69	2848412	16	68431	0.49244	98.15	4.49	75.7
High-quality	Rumen	ruminal_MAG_432	199	2170092	39	17152	0.61206	91.12	4.24	69.92
High-quality	Rumen	ruminal_MAG_433	135	3657456	18	70945	0.51991	93.02	2.06	82.72
High-quality	Rumen	ruminal_MAG_434	125	2837733	17	43400	0.58795	80.28	2.53	67.63
High-quality	Rumen	ruminal_MAG_435	16	952063	3	125502	0.44235	86.81	0.0	86.81
High-quality	Rumen	ruminal_MAG_436	76	3816892	15	90308	0.51101	90.19	0.94	85.49
High-quality	Rumen	ruminal_MAG_437	130	3325272	18	50590	0.55288	99.19	1.05	93.94
High-quality	Rumen	ruminal_MAG_438	161	2411221	33	23429	0.52390	96.27	1.43	89.12
High-quality	Rumen	ruminal_MAG_439	52	3193580	10	97382	0.48503	94.89	0.0	94.89
High-quality	Rumen	ruminal_MAG_44	68	3139232	11	96531	0.46465	94.15	1.53	86.5
High-quality	Rumen	ruminal_MAG_440	239	2066429	48	12871	0.34163	92.53	2.4	80.53
High-quality	Rumen	ruminal_MAG_441	58	2710962	10	83752	0.55733	95.0	0.71	91.45
High-quality	Rumen	ruminal_MAG_442	311	1866351	81	6868	0.37573	84.2	0.23	83.05
High-quality	Rumen	ruminal_MAG_443	370	2858500	80	10658	0.51194	89.68	1.59	81.73
High-quality	Rumen	ruminal_MAG_444	23	1503767	7	99299	0.37087	93.12	0.0	93.12
High-quality	Rumen	ruminal_MAG_445	47	2430018	9	87916	0.48868	96.17	0.71	92.62
