Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Feces	fecal_MAG_57	154	2251150	31	23227	80404	0.5088	98.27	2.47	85.92	7x
Medium-quality	Feces	fecal_MAG_570	472	1444515	124	3523	19140	0.48457	72.43	2.65	59.18	NA
Medium-quality	Feces	fecal_MAG_571	169	2007444	32	20614	85125	0.56351	73.64	4.57	50.79	NA
Medium-quality	Feces	fecal_MAG_572	386	1722729	103	5159	45961	0.41597	67.73	6.9	33.23	NA
Medium-quality	Feces	fecal_MAG_573	705	2128270	200	3512	15411	0.58196	67.94	1.77	59.09	NA
Medium-quality	Feces	fecal_MAG_574	771	1729324	220	2508	12770	0.58729	69.92	3.99	49.97	NA
Medium-quality	Feces	fecal_MAG_575	789	1698349	235	2278	14935	0.58905	72.46	4.24	51.26	NA
Medium-quality	Feces	fecal_MAG_576	711	1810753	203	2941	17046	0.48695	72.61	1.44	65.41	NA
Medium-quality	Feces	fecal_MAG_577	55	986863	9	38142	80456	0.5465	54.48	6.71	20.93	NA
Medium-quality	Feces	fecal_MAG_578	92	1463448	8	57113	160836	0.38709	57.86	0.67	54.51	NA
Medium-quality	Feces	fecal_MAG_579	116	1342876	27	15279	54502	0.50657	61.35	0	61.35	NA
High-quality	Feces	fecal_MAG_58	162	3128945	27	38607	102018	0.33194	99.33	1.4	92.33	15x
Medium-quality	Feces	fecal_MAG_580	326	993460	86	3847	13346	0.32078	75.5	2.3	64	NA
Medium-quality	Feces	fecal_MAG_581	357	829428	104	2585	15278	0.38421	61.08	4.19	40.13	NA
Medium-quality	Feces	fecal_MAG_582	111	1331567	17	25769	62797	0.36926	61.47	2.94	46.77	NA
Medium-quality	Feces	fecal_MAG_583	605	1259560	196	2182	9372	0.42697	57.08	1.63	48.93	NA
Medium-quality	Feces	fecal_MAG_584	623	1354487	192	2380	9067	0.49313	67.72	2.64	54.52	NA
Medium-quality	Feces	fecal_MAG_585	514	2290681	131	5321	45265	0.4674	77.59	2.11	67.04	NA
Medium-quality	Feces	fecal_MAG_586	192	3723582	29	39549	131490	0.42129	96.79	9.92	47.19	NA
Medium-quality	Feces	fecal_MAG_587	219	3724180	23	48240	187498	0.39236	95.17	9.42	48.07	NA
Medium-quality	Feces	fecal_MAG_588	265	1691285	61	8814	29510	0.36985	77.59	1.68	69.19	NA
Medium-quality	Feces	fecal_MAG_589	265	3854640	37	29811	169043	0.37974	96.78	9.81	47.73	NA
High-quality	Feces	fecal_MAG_59	362	2770412	40	18603	89809	0.49011	94.62	6.77	60.77	11x
Medium-quality	Feces	fecal_MAG_590	53	1159127	9	38695	94373	0.36495	63.75	0	63.75	NA
Medium-quality	Feces	fecal_MAG_591	1077	2598515	274	2727	40929	0.53728	68.78	1.41	61.73	NA
Medium-quality	Feces	fecal_MAG_592	760	1907061	206	2807	12226	0.49415	76	2.26	64.7	NA
Medium-quality	Feces	fecal_MAG_593	700	1969967	173	3289	38739	0.57949	77.71	3.36	60.91	NA
Medium-quality	Feces	fecal_MAG_594	333	1394459	101	4455	86137	0.43669	51.7	1.71	43.15	NA
Medium-quality	Feces	fecal_MAG_595	480	2677510	110	6973	59093	0.39861	73.91	5.82	44.81	NA
Medium-quality	Feces	fecal_MAG_596	614	1090050	204	1857	12347	0.42239	50.88	0.88	46.48	NA
Medium-quality	Feces	fecal_MAG_597	917	2919216	255	3498	19110	0.45414	73.6	5.83	44.45	NA
Medium-quality	Feces	fecal_MAG_598	255	1251008	76	5549	17575	0.40045	52.09	0.9	47.59	NA
Medium-quality	Feces	fecal_MAG_599	357	1978944	99	6687	19896	0.55466	74.87	0	74.87	NA
High-quality	Feces	fecal_MAG_6	485	2129373	96	6020	33488	0.51016	95.05	3	80.05	3x
High-quality	Feces	fecal_MAG_60	163	1770880	38	14377	64539	0.33	85.6	3.58	67.7	4x
Medium-quality	Feces	fecal_MAG_600	391	2335031	92	7395	59749	0.57777	75.91	1.28	69.51	NA
Medium-quality	Feces	fecal_MAG_601	281	1167392	89	4546	11293	0.47429	64.47	2.57	51.62	NA
Medium-quality	Feces	fecal_MAG_602	301	1300501	84	4591	22911	0.42172	65.74	1.01	60.69	NA
Medium-quality	Feces	fecal_MAG_603	261	1395956	74	6015	21412	0.56698	74.04	2.03	63.89	NA
Medium-quality	Feces	fecal_MAG_604	525	1453531	120	3242	15244	0.41566	93.79	9.13	48.14	NA
Medium-quality	Feces	fecal_MAG_605	427	911210	136	2314	9332	0.33005	71.93	6.62	38.83	NA
Medium-quality	Feces	fecal_MAG_606	754	1889576	200	2746	36687	0.39408	65.88	5.55	38.13	NA
Medium-quality	Feces	fecal_MAG_607	235	1364967	39	9382	42286	0.32455	66.36	0.81	62.31	NA
Medium-quality	Feces	fecal_MAG_608	702	1459168	218	2177	29077	0.52718	53.5	1.93	43.85	NA
Medium-quality	Feces	fecal_MAG_609	737	1647539	214	2560	10140	0.39297	70.76	5.37	43.91	NA
High-quality	Feces	fecal_MAG_61	61	2034566	14	49789	122598	0.46848	89.16	1.98	79.26	32x
Medium-quality	Feces	fecal_MAG_610	707	1649306	214	2509	11961	0.42663	67.44	1.87	58.09	NA
Medium-quality	Feces	fecal_MAG_611	583	1885346	151	3896	23764	0.43728	78.67	1.57	70.82	NA
Medium-quality	Feces	fecal_MAG_612	96	1588857	18	31518	80585	0.41546	71.16	1.75	62.41	NA
Medium-quality	Feces	fecal_MAG_613	350	2103899	85	7228	48093	0.45747	69.38	5.41	42.33	NA
Medium-quality	Feces	fecal_MAG_614	452	3124877	107	8679	51006	0.42428	84.81	9.6	36.81	NA
Medium-quality	Feces	fecal_MAG_615	663	1483586	190	2431	19523	0.51942	69.09	3.05	53.84	NA
Medium-quality	Feces	fecal_MAG_616	430	789166	144	1894	6314	0.43867	54.93	0.29	53.48	NA
Medium-quality	Feces	fecal_MAG_617	498	1732432	134	3619	52620	0.46073	51.1	3.66	32.8	NA
Medium-quality	Feces	fecal_MAG_618	162	2131872	19	27605	102088	0.38284	64.87	7.54	27.17	NA
Medium-quality	Feces	fecal_MAG_619	45	2434187	9	109858	185987	0.43915	76.07	0.93	71.42	NA
High-quality	Feces	fecal_MAG_62	295	1668043	64	7905	38049	0.407	93.82	3.44	76.62	6x
Medium-quality	Feces	fecal_MAG_620	25	1535284	4	109178	426706	0.28131	78.65	1.12	73.05	NA
Medium-quality	Feces	fecal_MAG_621	286	1220383	83	4571	19960	0.41278	74.19	5.06	48.89	NA
Medium-quality	Feces	fecal_MAG_622	127	2659553	10	74773	276153	0.35014	91.23	8.85	46.98	NA
Medium-quality	Feces	fecal_MAG_623	975	2278098	288	2628	11688	0.47742	80.4	8.32	38.8	NA
Medium-quality	Feces	fecal_MAG_624	69	1862343	13	42678	187269	0.44024	75.62	0	75.62	NA
Medium-quality	Feces	fecal_MAG_625	538	1480336	138	2903	34094	0.41712	59.26	3.28	42.86	NA
Medium-quality	Feces	fecal_MAG_626	457	2007342	105	5690	40482	0.52536	79	2.26	67.7	NA
Medium-quality	Feces	fecal_MAG_627	579	1497984	161	2965	10852	0.32175	70.35	0.58	67.45	NA
Medium-quality	Feces	fecal_MAG_628	620	2853917	122	6278	43667	0.32371	83.82	8.03	43.67	NA
Medium-quality	Feces	fecal_MAG_629	399	1983387	105	6234	31615	0.59304	76.3	1.14	70.6	NA
High-quality	Feces	fecal_MAG_63	503	1687864	118	4104	23209	0.32048	80.15	3.8	61.15	4x
Medium-quality	Feces	fecal_MAG_630	835	1885026	232	2565	20102	0.57516	61.59	2.68	48.19	NA
Medium-quality	Feces	fecal_MAG_631	327	1810727	76	7055	26238	0.48961	77.96	0.74	74.26	NA
Medium-quality	Feces	fecal_MAG_632	669	2596367	164	4542	47010	0.57595	69.91	0.99	64.96	NA
Medium-quality	Feces	fecal_MAG_633	942	1799559	295	2028	8248	0.48591	65.36	5.59	37.41	NA
Medium-quality	Feces	fecal_MAG_634	165	2186177	11	52650	364746	0.25981	70.67	7.33	34.02	NA
Medium-quality	Feces	fecal_MAG_635	212	1636297	39	12042	54261	0.4448	77.5	3.85	58.25	NA
Medium-quality	Feces	fecal_MAG_636	524	1881015	144	4081	19585	0.33509	74.32	3.2	58.32	NA
Medium-quality	Feces	fecal_MAG_637	550	1879369	139	4039	41406	0.39216	76.98	2.43	64.83	NA
Medium-quality	Feces	fecal_MAG_638	522	1336550	147	2871	12742	0.32509	71.17	1.98	61.27	NA
Medium-quality	Feces	fecal_MAG_639	789	1731053	241	2390	15344	0.5329	70.38	3.13	54.73	NA
High-quality	Feces	fecal_MAG_64	166	3101003	16	59612	173949	0.39483	97.99	3.36	81.19	63x
Medium-quality	Feces	fecal_MAG_640	632	1760356	156	3321	25874	0.51568	79.97	1.47	72.62	NA
Medium-quality	Feces	fecal_MAG_641	612	1526422	176	2808	18394	0.49157	74.98	2.12	64.38	NA
Medium-quality	Feces	fecal_MAG_642	499	1627074	134	3808	42885	0.33532	77.88	3.47	60.53	NA
Medium-quality	Feces	fecal_MAG_643	455	1122199	131	2937	10660	0.52722	79.65	1.77	70.8	NA
Medium-quality	Feces	fecal_MAG_644	236	988492	71	4398	17651	0.41651	61.97	3.31	45.42	NA
Medium-quality	Feces	fecal_MAG_645	566	1910943	157	3998	20141	0.38176	79.39	2.6	66.39	NA
Medium-quality	Feces	fecal_MAG_646	644	1257667	208	2002	13291	0.42912	55.8	1.07	50.45	NA
Medium-quality	Feces	fecal_MAG_647	68	1881623	14	45081	157625	0.42285	71.88	4.07	51.53	NA
Medium-quality	Feces	fecal_MAG_648	793	1610416	257	2183	8619	0.47591	56.86	3.57	39.01	NA
Medium-quality	Feces	fecal_MAG_649	887	2092771	254	2612	34988	0.57238	77.68	5.96	47.88	NA
High-quality	Feces	fecal_MAG_65	213	3277456	26	37882	95412	0.36573	94.63	1.01	89.58	27x
Medium-quality	Feces	fecal_MAG_650	345	3375035	52	15948	236031	0.36741	77.79	5.25	51.54	NA
Medium-quality	Feces	fecal_MAG_651	195	3420357	20	55391	183892	0.35761	72.68	6.9	38.18	NA
Medium-quality	Feces	fecal_MAG_652	408	1863654	113	4857	38960	0.43267	69.3	1.71	60.75	NA
Medium-quality	Feces	fecal_MAG_653	25	1618137	5	139889	234968	0.59016	69.46	0	69.46	NA
Medium-quality	Feces	fecal_MAG_654	293	1199196	87	4442	17740	0.56789	59.77	5.82	30.67	NA
Medium-quality	Feces	fecal_MAG_655	442	980877	131	2430	21619	0.39179	66.08	1.97	56.23	NA
Medium-quality	Feces	fecal_MAG_656	444	2730201	70	8640	282416	0.35707	95.75	9.26	49.45	NA
Medium-quality	Feces	fecal_MAG_657	264	1247683	58	6551	39569	0.48601	66.65	3.71	48.1	NA
Medium-quality	Feces	fecal_MAG_658	223	707464	70	3652	9844	0.43796	66.26	0	66.26	NA
Medium-quality	Feces	fecal_MAG_659	168	2380685	26	24979	119823	0.41187	74.07	5.75	45.32	NA
High-quality	Feces	fecal_MAG_66	26	2109451	6	167411	220362	0.50494	99.04	0.72	95.44	15x
Medium-quality	Feces	fecal_MAG_660	432	1949982	115	5022	36871	0.39462	60.22	6.76	26.42	NA
Medium-quality	Feces	fecal_MAG_661	304	2399441	64	11478	95565	0.38998	74.89	6.41	42.84	NA
Medium-quality	Feces	fecal_MAG_662	764	1926005	220	2826	13673	0.40581	72.28	0.83	68.13	NA
Medium-quality	Feces	fecal_MAG_663	205	2011341	36	14999	71863	0.56218	77.07	6.13	46.42	NA
Medium-quality	Feces	fecal_MAG_664	275	584009	86	2412	9644	0.49931	59.83	0.76	56.03	NA
Medium-quality	Feces	fecal_MAG_665	546	1290576	154	2555	13969	0.44721	63.63	2.28	52.23	NA
Medium-quality	Feces	fecal_MAG_666	62	1133592	12	34959	67112	0.30844	72	2.67	58.65	NA
Medium-quality	Feces	fecal_MAG_667	391	1663013	116	4969	18060	0.33653	63.13	6	33.13	NA
Medium-quality	Feces	fecal_MAG_668	403	2324961	94	7239	46832	0.34291	80.28	8.94	35.58	NA
Medium-quality	Feces	fecal_MAG_669	315	1483575	83	5379	42112	0.43755	60.95	1.9	51.45	NA
High-quality	Feces	fecal_MAG_67	33	1083612	3	161120	271421	0.43296	87.91	0	87.91	17x
Medium-quality	Feces	fecal_MAG_670	390	1755105	102	5252	26743	0.36229	81.58	7.1	46.08	NA
Medium-quality	Feces	fecal_MAG_671	164	1539487	32	14271	53974	0.4744	71.14	0.04	70.94	NA
Medium-quality	Feces	fecal_MAG_672	390	2391244	90	7632	76403	0.32023	87.07	7.73	48.42	NA
Medium-quality	Feces	fecal_MAG_673	758	1959412	199	2961	32194	0.58163	79.72	3.64	61.52	NA
Medium-quality	Feces	fecal_MAG_674	856	2369151	248	3145	16440	0.45901	73.53	2.27	62.18	NA
Medium-quality	Feces	fecal_MAG_675	166	1618886	39	13698	36619	0.36887	68.98	0.8	64.98	NA
Medium-quality	Feces	fecal_MAG_676	413	2389100	88	7485	42950	0.29718	89.54	8.77	45.69	NA
Medium-quality	Feces	fecal_MAG_677	571	1605249	155	3311	14425	0.49298	79.79	3.78	60.89	NA
Medium-quality	Feces	fecal_MAG_678	53	1074924	14	29139	58304	0.58087	51.91	0.67	48.56	NA
Medium-quality	Feces	fecal_MAG_679	1358	3489685	360	2962	17048	0.51281	76.19	3.09	60.74	NA
High-quality	Feces	fecal_MAG_68	29	2229537	7	112178	284767	0.47415	97.76	0	97.76	32x
Medium-quality	Feces	fecal_MAG_680	454	998732	127	2311	11048	0.52915	72.8	1.64	64.6	NA
Medium-quality	Feces	fecal_MAG_681	403	2312924	95	7122	32267	0.35569	89.33	10	39.33	NA
Medium-quality	Feces	fecal_MAG_682	539	1121097	172	2275	8935	0.32223	55.17	1.8	46.17	NA
Medium-quality	Feces	fecal_MAG_683	160	1317662	40	11026	40322	0.44521	75.49	3.06	60.19	NA
Medium-quality	Feces	fecal_MAG_684	605	1518196	173	2950	16144	0.35324	78.12	3.18	62.22	NA
Medium-quality	Feces	fecal_MAG_685	857	1583608	271	1944	8123	0.3814	67.32	8.68	23.92	NA
Medium-quality	Feces	fecal_MAG_686	154	2553960	31	27578	109809	0.53282	70.37	1.74	61.67	NA
Medium-quality	Feces	fecal_MAG_687	358	1916283	78	6921	28912	0.36021	87.22	8.17	46.37	NA
Medium-quality	Feces	fecal_MAG_688	109	805117	25	9926	39736	0.322	73.66	0.21	72.61	NA
Medium-quality	Feces	fecal_MAG_689	382	1580549	113	4416	45540	0.43601	58.63	2.73	44.98	NA
High-quality	Feces	fecal_MAG_69	95	2145986	18	39221	118589	0.36634	94.97	1.25	88.72	12x
Medium-quality	Feces	fecal_MAG_690	100	1666279	23	23189	73607	0.53221	65.44	0.71	61.89	NA
Medium-quality	Feces	fecal_MAG_691	104	1429365	24	19595	68298	0.36991	79.44	1.61	71.39	NA
Medium-quality	Feces	fecal_MAG_692	495	1201719	146	2680	10752	0.44921	73.59	2.01	63.54	NA
Medium-quality	Feces	fecal_MAG_693	299	3044743	40	20910	262779	0.36044	65.26	3.7	46.76	NA
Medium-quality	Feces	fecal_MAG_694	758	1613415	232	2280	11553	0.42831	70.84	3.63	52.69	NA
Medium-quality	Feces	fecal_MAG_695	95	1434427	21	24154	72511	0.54962	72.42	0.48	70.02	NA
Medium-quality	Feces	fecal_MAG_696	702	1934625	186	3133	62755	0.35097	76.05	6.68	42.65	NA
Medium-quality	Feces	fecal_MAG_697	926	1985685	291	2270	14338	0.39903	77.92	8.3	36.42	NA
Medium-quality	Feces	fecal_MAG_698	415	1073974	117	2993	13028	0.32671	66.13	4.03	45.98	NA
Medium-quality	Feces	fecal_MAG_699	570	2236467	139	4687	23839	0.46905	77.8	5.54	50.1	NA
High-quality	Feces	fecal_MAG_7	313	1761246	72	7847	33833	0.51316	91.86	2.51	79.31	5x
High-quality	Feces	fecal_MAG_70	480	1862082	117	4989	19771	0.4028	89.71	1.01	84.66	4x
Medium-quality	Feces	fecal_MAG_700	580	1396308	165	2717	12739	0.46293	77.39	2.93	62.74	NA
Medium-quality	Feces	fecal_MAG_701	711	1387309	233	2039	7049	0.52956	64.1	1.94	54.4	NA
Medium-quality	Feces	fecal_MAG_702	742	1742645	210	2662	12016	0.48649	73.42	3.93	53.77	NA
Medium-quality	Feces	fecal_MAG_703	890	2069541	248	2540	14656	0.51518	81.97	6.75	48.22	NA
Medium-quality	Feces	fecal_MAG_704	284	2030913	57	10089	52194	0.47027	76.21	3.33	59.56	NA
Medium-quality	Feces	fecal_MAG_705	28	1430804	6	84049	223525	0.55363	58.22	0.02	58.12	NA
Medium-quality	Feces	fecal_MAG_706	60	1880928	13	52610	115312	0.42188	68.99	1.9	59.49	NA
Medium-quality	Feces	fecal_MAG_707	213	1160107	53	7449	22882	0.58217	59.69	0.73	56.04	NA
Medium-quality	Feces	fecal_MAG_708	906	2139221	236	2607	37824	0.3523	62.29	8.48	19.89	NA
Medium-quality	Feces	fecal_MAG_709	195	2907372	18	44003	175083	0.42225	76.89	3.15	61.14	NA
High-quality	Feces	fecal_MAG_71	292	3572615	24	48580	114939	0.49109	91.72	3.69	73.27	19x
Medium-quality	Feces	fecal_MAG_710	754	3245635	168	4959	102039	0.32479	72.17	8.71	28.62	NA
Medium-quality	Feces	fecal_MAG_711	129	1943207	12	48385	122753	0.51809	50.52	0.5	48.02	NA
Medium-quality	Feces	fecal_MAG_712	210	1677383	52	9451	65234	0.5352	52.64	5.23	26.49	NA
Medium-quality	Feces	fecal_MAG_713	194	1829060	47	11907	44096	0.55019	53.8	1.01	48.75	NA
Medium-quality	Feces	fecal_MAG_714	63	1604431	13	41022	136342	0.51539	62.64	0.38	60.74	NA
Medium-quality	Feces	fecal_MAG_715	66	879409	13	23245	53731	0.31825	69.78	2.42	57.68	NA
Medium-quality	Feces	fecal_MAG_716	192	1198202	52	7409	31031	0.34912	70.27	1.68	61.87	NA
Medium-quality	Feces	fecal_MAG_717	56	1099713	12	33501	62133	0.36567	76.48	2.02	66.38	NA
Medium-quality	Feces	fecal_MAG_718	34	613826	8	27833	80813	0.44937	57.02	5.13	31.37	NA
Medium-quality	Feces	fecal_MAG_719	104	1298177	23	17936	60320	0.54783	74.83	0.67	71.48	NA
High-quality	Feces	fecal_MAG_72	129	2252541	22	30764	124861	0.53176	96.79	1.26	90.49	18x
Medium-quality	Feces	fecal_MAG_720	121	755660	32	7071	32448	0.28459	58.91	0	58.91	NA
Medium-quality	Feces	fecal_MAG_721	67	1269782	12	29342	99953	0.26258	74.53	8.48	32.13	NA
Medium-quality	Feces	fecal_MAG_722	119	1012097	22	12872	46910	0.29464	59.82	6.18	28.92	NA
Medium-quality	Feces	fecal_MAG_723	151	737218	46	5946	16674	0.31588	51.81	0.22	50.71	NA
Medium-quality	Feces	fecal_MAG_724	26	1104304	6	77539	136559	0.38471	50.84	0	50.84	NA
Medium-quality	Feces	fecal_MAG_725	186	2038811	42	14458	60635	0.48305	77.94	0.76	74.14	NA
Medium-quality	Feces	fecal_MAG_726	128	1525858	27	15687	81472	0.38775	64.65	1.7	56.15	NA
Medium-quality	Feces	fecal_MAG_727	148	1830212	36	16393	48345	0.41438	70.87	1.68	62.47	NA
Medium-quality	Feces	fecal_MAG_728	177	1384990	50	9458	30838	0.43731	69.09	0.3	67.59	NA
Medium-quality	Feces	fecal_MAG_729	92	1908897	24	29125	82511	0.4955	67.8	0.68	64.4	NA
High-quality	Feces	fecal_MAG_73	124	1455937	27	16203	57412	0.43176	84.79	1.68	76.39	10x
Medium-quality	Feces	fecal_MAG_730	71	779565	15	17603	51854	0.33941	69.29	3.23	53.14	NA
Medium-quality	Feces	fecal_MAG_731	109	1825653	12	48487	131827	0.47908	76.51	3.29	60.06	NA
Medium-quality	Feces	fecal_MAG_732	338	1727090	77	6523	48045	0.42031	74.08	3.75	55.33	NA
Medium-quality	Feces	fecal_MAG_733	102	1869585	17	40331	73547	0.55869	75.53	0.58	72.63	NA
Medium-quality	Feces	fecal_MAG_734	389	1383697	104	4205	19306	0.45202	66.69	7.27	30.34	NA
Medium-quality	Feces	fecal_MAG_735	380	1269403	99	3732	42562	0.54877	67.77	4.92	43.17	NA
Medium-quality	Feces	fecal_MAG_736	345	1882144	66	7395	62635	0.23749	62.03	9.47	14.68	NA
Medium-quality	Feces	fecal_MAG_737	466	1503888	91	4557	22571	0.44046	82.51	8.89	38.06	NA
High-quality	Feces	fecal_MAG_74	95	2987621	22	45796	136570	0.45235	96.28	1.01	91.23	12x
High-quality	Feces	fecal_MAG_75	65	1909227	10	64613	214295	0.4209	94.97	0.67	91.62	14x
High-quality	Feces	fecal_MAG_76	276	2036063	66	10158	35503	0.35666	92.32	3.24	76.12	4x
High-quality	Feces	fecal_MAG_77	267	2211511	49	14620	64618	0.54353	97	6.51	64.45	9x
High-quality	Feces	fecal_MAG_78	185	2919729	36	24869	129402	0.48769	91.72	2.86	77.42	10x
High-quality	Feces	fecal_MAG_79	123	1584881	23	19112	67132	0.44767	81.88	0.67	78.53	10x
High-quality	Feces	fecal_MAG_8	129	3631568	9	111612	400182	0.45747	96.9	2.69	83.45	51x
High-quality	Feces	fecal_MAG_80	299	1837424	73	7525	32123	0.35746	81.76	3.38	64.86	5x
High-quality	Feces	fecal_MAG_81	106	1945231	20	29488	102067	0.51473	94.31	0	94.31	7x
High-quality	Feces	fecal_MAG_82	58	1582906	9	54458	206841	0.44674	98.41	0.34	96.71	13x
High-quality	Feces	fecal_MAG_83	157	2105978	25	21501	99760	0.4794	88.68	0.67	85.33	16x
High-quality	Feces	fecal_MAG_84	76	2306377	14	58045	130879	0.47215	89.84	1.86	80.54	10x
High-quality	Feces	fecal_MAG_85	312	1728955	61	8121	52958	0.51011	95.13	3.53	77.48	9x
High-quality	Feces	fecal_MAG_86	754	2586739	191	4176	49159	0.44256	82.82	3.02	67.72	8x
High-quality	Feces	fecal_MAG_87	549	1866150	131	4278	26650	0.35093	84.63	2.91	70.08	6x
High-quality	Feces	fecal_MAG_88	143	2480641	9	94366	204256	0.4416	95.91	4.3	74.41	39x
High-quality	Feces	fecal_MAG_89	74	2767244	13	68555	197114	0.56607	91.84	2.72	78.24	36x
High-quality	Feces	fecal_MAG_9	417	3190207	68	12245	63255	0.36259	95.43	8.05	55.18	26x
High-quality	Feces	fecal_MAG_90	91	1849901	10	50232	355170	0.52508	86.06	5.68	57.66	20x
High-quality	Feces	fecal_MAG_91	127	3059849	30	32613	117368	0.4499	94.85	0.19	93.9	21x
High-quality	Feces	fecal_MAG_92	174	1814158	32	15418	70315	0.58145	93.62	1.23	87.47	4x
High-quality	Feces	fecal_MAG_93	221	2631443	46	17977	88759	0.4502	90.64	2.22	79.54	11x
High-quality	Feces	fecal_MAG_94	182	1608642	42	12827	50512	0.40815	93.06	3.49	75.61	4x
High-quality	Feces	fecal_MAG_95	143	2958202	26	35016	240085	0.58048	86.42	2.04	76.22	12x
High-quality	Feces	fecal_MAG_96	604	2342709	154	4757	16883	0.50135	88.91	3.16	73.11	8x
High-quality	Feces	fecal_MAG_97	714	2325310	179	3878	27657	0.40419	81.51	5.06	56.21	5x
High-quality	Feces	fecal_MAG_98	89	2139887	13	50411	143652	0.4001	97.99	3.58	80.09	104x
High-quality	Feces	fecal_MAG_99	30	2093913	4	247385	336097	0.438	97.04	1.61	88.99	22x
High-quality	Rumen	ruminal_MAG_1	337	1642205	89	5706	21804	0.55441	80.93	2.82	66.83	8x
High-quality	Rumen	ruminal_MAG_10	123	2250076	24	32472	70061	0.56587	91.41	2.9	76.91	12x
High-quality	Rumen	ruminal_MAG_100	247	1443475	59	7622	49589	0.35843	82.48	2.17	71.63	9x
High-quality	Rumen	ruminal_MAG_101	132	3264928	15	63983	219902	0.52187	98.01	0.54	95.31	85x
High-quality	Rumen	ruminal_MAG_102	238	2073855	42	13316	60157	0.53704	97.6	0	97.6	43x
High-quality	Rumen	ruminal_MAG_103	347	4597853	44	31329	173917	0.48547	99.21	2.59	86.26	23x
High-quality	Rumen	ruminal_MAG_104	151	3332760	23	45366	115985	0.49623	87.02	3.4	70.02	19x
High-quality	Rumen	ruminal_MAG_105	15	2865861	3	302680	604834	0.52048	95.43	0.54	92.73	59x
High-quality	Rumen	ruminal_MAG_106	64	2415987	13	69677	135824	0.52096	95.32	1.08	89.92	16x
High-quality	Rumen	ruminal_MAG_107	378	2021607	99	6520	29537	0.51331	80.06	1.58	72.16	8x
High-quality	Rumen	ruminal_MAG_108	84	1962753	15	37676	114471	0.49158	92.55	0.86	88.25	13x
High-quality	Rumen	ruminal_MAG_109	54	1371282	11	39637	148601	0.37164	96.63	2.25	85.38	13x
High-quality	Rumen	ruminal_MAG_11	146	1552173	32	14625	70961	0.57868	82.9	0.68	79.5	10x
High-quality	Rumen	ruminal_MAG_110	177	1928392	38	15218	50427	0.61917	82.85	2.91	68.3	10x
High-quality	Rumen	ruminal_MAG_111	1169	3213134	335	3163	15612	0.61794	82.79	3.85	63.54	7x
High-quality	Rumen	ruminal_MAG_112	216	3183609	28	34164	253799	0.48986	92.32	1.37	85.47	22x
High-quality	Rumen	ruminal_MAG_113	58	2492844	5	199858	389609	0.49391	97.47	2.42	85.37	21x
High-quality	Rumen	ruminal_MAG_114	385	2354136	67	9796	56383	0.44334	87.36	2.44	75.16	7x
High-quality	Rumen	ruminal_MAG_115	258	2353292	42	16547	56689	0.51371	84.14	4.8	60.14	10x
High-quality	Rumen	ruminal_MAG_116	121	1675572	23	23932	83703	0.33665	98.31	4.13	77.66	12x
High-quality	Rumen	ruminal_MAG_117	82	3406774	17	59398	193123	0.48633	100	0.02	99.9	19x
High-quality	Rumen	ruminal_MAG_118	352	2669812	81	10599	40723	0.59659	83.59	1.5	76.09	9x
High-quality	Rumen	ruminal_MAG_119	237	2497481	54	15503	65110	0.56267	89.38	2.81	75.33	7x
High-quality	Rumen	ruminal_MAG_12	287	1530768	69	6021	51372	0.33038	81.47	1	76.47	12x
High-quality	Rumen	ruminal_MAG_120	299	4213093	55	23037	69698	0.43409	93.8	5.63	65.65	37x
High-quality	Rumen	ruminal_MAG_121	36	1936695	8	89660	170016	0.50011	91.67	1.27	85.32	101x
High-quality	Rumen	ruminal_MAG_122	120	2093337	27	27722	91177	0.52037	81.72	1.88	72.32	14x
High-quality	Rumen	ruminal_MAG_123	16	838498	4	62131	202037	0.4215	87.91	0	87.91	19x
High-quality	Rumen	ruminal_MAG_124	75	2686953	14	84341	143767	0.54708	95.84	0	95.84	14x
High-quality	Rumen	ruminal_MAG_125	99	3163661	21	48791	200877	0.51142	94.75	1.01	89.7	15x
High-quality	Rumen	ruminal_MAG_126	344	3284586	70	14195	73855	0.38605	96.75	2.79	82.8	6x
High-quality	Rumen	ruminal_MAG_127	756	1957566	197	2919	28468	0.50219	84.03	6.11	53.48	3x
High-quality	Rumen	ruminal_MAG_128	137	3396098	15	73136	195642	0.46603	92.78	1.35	86.03	154x
High-quality	Rumen	ruminal_MAG_129	52	3371608	4	319492	543837	0.50291	98.9	1.65	90.65	88x
High-quality	Rumen	ruminal_MAG_13	92	3195155	16	62479	183894	0.46073	94.95	6.2	63.95	23x
High-quality	Rumen	ruminal_MAG_130	245	3795827	26	46304	233817	0.50001	92.82	5.58	64.92	45x
High-quality	Rumen	ruminal_MAG_131	51	1729513	4	177165	344777	0.35967	98.88	1.12	93.28	42x
High-quality	Rumen	ruminal_MAG_132	267	2331299	50	14422	51616	0.51364	87.9	0.82	83.8	27x
High-quality	Rumen	ruminal_MAG_133	172	2720569	30	23769	127550	0.49381	96.33	2.24	85.13	12x
High-quality	Rumen	ruminal_MAG_134	341	2081477	80	7505	34259	0.47228	86.22	2.68	72.82	7x
High-quality	Rumen	ruminal_MAG_135	352	2766951	82	10476	44195	0.57141	86.95	2.82	72.85	7x
